"Order Date","Item Type","Units Sold","Unit Price","Total Profit","Country","Year","Revenue","Unit_Cost","Cost_Rank","Count"
"3/1/2017","Clothes",1354,109.28,99437.76,"New Zealand","2017",147965.12,35.84,1619,8090
"3/27/2017","Personal Care",1284,81.73,32177.04,"Vietnam","2017",104941.32,56.67,2109,8090
"3/29/2017","Vegetables",3444,154.06,217419.72,"Australia","2017",530582.64,90.93,2949,8090
"1/22/2017","Baby Food",2405,255.28,230543.3,"Canada","2017",613948.4,159.42,5024,8090
"3/13/2017","Office Supplies",1886,651.21,238107.5,"Vietnam","2017",1228182.06,524.96,7440,8090
"7/4/2017","Personal Care",2804,81.73,70268.24,"Cuba","2017",229170.92,56.67,2012,8090
"5/16/2017","Clothes",4552,109.28,334298.88,"Cuba","2017",497442.56,35.84,1379,8090
"1/5/2017","Personal Care",3052,81.73,76483.12,"Cuba","2017",249439.96,56.67,2372,8090
"5/6/2017","Beverages",1755,47.45,27483.3,"Vietnam","2017",83274.75,31.79,667,8090
"3/21/2017","Cosmetics",7377,437.2,1282638.99,"Ukraine","2017",3225224.4,263.33,5473,8090
"4/30/2017","Household",5130,668.27,850194.9,"Cuba","2017",3428225.1,502.54,7183,8090
"3/5/2017","Cereal",2394,205.7,212084.46,"Australia","2017",492445.8,117.11,4156,8090
"1/4/2017","Meat",2971,421.89,169941.2,"Canada","2017",1253435.19,364.69,6240,8090
"6/9/2017","Vegetables",2890,154.06,182445.7,"Vietnam","2017",445233.4,90.93,2949,8090
"7/28/2017","Meat",3291,421.89,188245.2,"Australia","2017",1388439.99,364.69,6240,8090
"3/6/2017","Snacks",9109,152.58,502270.26,"Cuba","2017",1389851.22,97.44,3830,8090
"1/2/2017","Baby Food",8388,255.28,804073.68,"United Kingdom","2017",2141288.64,159.42,4738,8090
"6/29/2017","Cereal",5697,205.7,504697.23,"Luxembourg","2017",1171872.9,117.11,4156,8090
"4/3/2017","Snacks",6773,152.58,373463.22,"Vietnam","2017",1033424.34,97.44,3514,8090
"3/18/2017","Office Supplies",1213,651.21,153141.25,"Ukraine","2017",789917.73,524.96,7440,8090
"2/1/2017","Cereal",4057,205.7,359409.63,"Canada","2017",834524.9,117.11,4021,8090
"4/16/2017","Cosmetics",9595,437.2,1668282.65,"New Zealand","2017",4194934,263.33,5473,8090
"3/16/2017","Household",6412,668.27,1062660.76,"Singapore","2017",4284947.24,502.54,7366,8090
"4/5/2017","Clothes",5858,109.28,430211.52,"Singapore","2017",640162.24,35.84,1379,8090
"2/23/2017","Baby Food",9234,255.28,885171.24,"Singapore","2017",2357255.52,159.42,5024,8090
"2/5/2017","Meat",304,421.89,17388.8,"New Zealand","2017",128254.56,364.69,6240,8090
"5/26/2017","Fruits",2346,9.33,5653.86,"New Zealand","2017",21888.18,6.92,125,8090
"5/2/2017","Clothes",2082,109.28,152902.08,"United Kingdom","2017",227520.96,35.84,1619,8090
"7/7/2017","Vegetables",1186,154.06,74872.18,"Luxembourg","2017",182715.16,90.93,2949,8090
"2/3/2017","Office Supplies",7645,651.21,965181.25,"Norway","2017",4978500.45,524.96,7440,8090
"1/14/2017","Personal Care",5841,81.73,146375.46,"Vietnam","2017",477384.93,56.67,2625,8090
"7/21/2017","Baby Food",8377,255.28,803019.22,"Cuba","2017",2138480.56,159.42,5024,8090
"1/21/2017","Office Supplies",6971,651.21,880088.75,"Luxembourg","2017",4539584.91,524.96,7440,8090
"1/28/2017","Beverages",9667,47.45,151385.22,"Australia","2017",458699.15,31.79,1121,8090
"1/2/2017","Snacks",5239,152.58,288878.46,"Canada","2017",799366.62,97.44,3514,8090
"2/24/2017","Snacks",7102,152.58,391604.28,"Norway","2017",1083623.16,97.44,3514,8090
"2/8/2017","Cosmetics",1826,437.2,317486.62,"Canada","2017",798327.2,263.33,5473,8090
"1/13/2017","Beverages",9191,47.45,143931.06,"Luxembourg","2017",436112.95,31.79,861,8090
"7/13/2017","Snacks",2878,152.58,158692.92,"New Zealand","2017",439125.24,97.44,3830,8090
"7/5/2017","Meat",8957,421.89,512340.4,"New Zealand","2017",3778868.73,364.69,6240,8090
"1/15/2017","Snacks",3562,152.58,196408.68,"Vietnam","2017",543489.96,97.44,3830,8090
"7/20/2017","Office Supplies",6723,651.21,848778.75,"Luxembourg","2017",4378084.83,524.96,7440,8090
"6/2/2017","Personal Care",5763,81.73,144420.78,"Singapore","2017",471009.99,56.67,2625,8090
"4/22/2017","Fruits",1210,9.33,2916.1,"Cuba","2017",11289.3,6.92,1,8090
"7/7/2017","Fruits",4618,9.33,11129.38,"Singapore","2017",43085.94,6.92,428,8090
"4/28/2017","Personal Care",478,81.73,11978.68,"United Kingdom","2017",39066.94,56.67,2109,8090
"5/21/2017","Vegetables",1516,154.06,95705.08,"United Kingdom","2017",233554.96,90.93,2949,8090
"7/9/2017","Clothes",8490,109.28,623505.6,"Singapore","2017",927787.2,35.84,1379,8090
